Erkrankungsdatum;ID;Wochentag Erkrankungsdatum;N(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen [ohne Gl„ttung];Obere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen [ohne Gl„ttung];NF(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen;Obere Grenze des 95%-Pr„diktionsintervalls der Anzahl Neuerkrankungen;R(RKI-H);Untere Grenze des 95%-Pr„diktionsintervalls der Reproduktionszahl R;Obere Grenze des 95%-Pr„diktionsintervalls der Reproduktionszahl R;R(RKI7-H);Untere Grenze des 95%-Pr„diktionsintervalls des 7-Tage-R Wertes;Obere Grenze des 95%-Pr„diktionsintervalls des 7-Tage-R Wertes;NF(RKI7-H);Neuberechnung R(RKI7);N(BF);Neuberechnung mit Formel  NF(RKI-H);Neuberechnung mit Formel R (RKI-H);Datum RKI-Tagesbericht;Wochentag RKI-Tagesbericht;N_{BF} [k+3,k+4];R(RKI-A);R(RKI7-A);NF(NEU-H);R(NEU-H);NF(NEU-HA);R(NEU-HA);NF_{BF,AF7} [k+3,k+7];R_{BF,AF7} [k,k+7];NF(NEU-A);R(NEU-A);NF(BF)[k+11];R_{BF,AF7} [k,k+14];MAE(RKI7-H vs. RKI-H);MAE(RKI7-H vs. RKI7-H);MAE(RKI7-H vs. NEU-H);MAE(RKI7-H vs. NEU-HA);MAE(RKI7-H vs. RKI-A);MAE(RKI7-H vs. NEU-A);MAE NF(RKI-H) vs. N(RKI-H);MAE NF(RKI7-H) vs. N(RKI-H);MAE NF(NEU-H) vs. N(RKI-H);MAE NF(NEU-HA) vs. N(RKI-H)
02.03.2020;0;Montag;304;290;318;225;212;239;;;;;;;;;;;;06.03.2020;Freitag;;;;;;;;;;;;;;;;;;;;;;;
03.03.2020;1;Dienstag;320;306;336;261;247;276;;;;;;;;;;;;07.03.2020;Samstag;;;;;;;;;;;;;;;;;;;;;;;
04.03.2020;2;Mittwoch;449;431;468;326;310;342;;;;;;;;;;;;08.03.2020;Sonntag;;;;;;;;;;;;;;;;;;;;;;;
05.03.2020;3;Donnerstag;503;482;522;394;377;411;;;;;;;;;;394;;09.03.2020;Montag;;;;665;;;;;;;;;;;;;;;;;;;
06.03.2020;4;Freitag;759;737;783;508;489;527;2,26;2,18;2,32;2,34;2,3;2,39;;;;508;;10.03.2020;Dienstag;157;;;911;;;;;;;;;;;;;;;;;;;
07.03.2020;5;Samstag;986;961;1013;674;653;696;2,58;2,51;2,66;2,56;2,52;2,6;554;;;674;;11.03.2020;Mittwoch;271;;;1232;;;;;;;;;;;;;;;;;;;
08.03.2020;6;Sonntag;1337;1304;1370;896;871;922;2,75;2,67;2,83;2,94;2,88;2,99;665;;;896;;12.03.2020;Donnerstag;802;;;1630;;;;;;;;;;;;;;;;;;;
09.03.2020;7;Montag;2023;1983;2064;1276;1246;1307;3,24;3,15;3,33;3,13;3,08;3,19;911;;157;1276;3,24;13.03.2020;Freitag;693;;;2074;3,12;;;696;;;;2380;;;;;;;;;;;
10.03.2020;8;Dienstag;2569;2526;2621;1729;1693;1767;3,41;3,33;3,49;3,21;3,17;3,26;1232;;271;1729;3,40;14.03.2020;Samstag;733;;;2589;2,84;;;837;;;;2897;;;;;;;;;;;
11.03.2020;9;Mittwoch;3235;3191;3278;2291;2251;2333;3,4;3,33;3,46;3,12;3,08;3,16;1630;3,12;802;2291;3,40;15.03.2020;Sonntag;1043;;;3081;2,50;;;947;;;;3337;;;;;;;;;;;
12.03.2020;10;Donnerstag;3607;3551;3656;2858;2813;2905;3,19;3,14;3,24;2,84;2,81;2,87;2074;2,84;693;2859;3,19;16.03.2020;Montag;1174;;;3559;2,18;4852;2,98;1233;;;;3644;;;;;;;;;;;
13.03.2020;11;Freitag;4363;4315;4416;3443;3396;3493;2,7;2,66;2,74;2,5;2,48;2,52;2589;2,50;733;3444;2,70;17.03.2020;Dienstag;1144;;;4130;1,99;5829;2,81;1556;2,24;;;4047;1,70;;;;;;;;;;
14.03.2020;12;Samstag;4434;4383;4488;3910;3860;3959;2,26;2,23;2,29;2,18;2,17;2,2;3081;2,18;1043;3910;2,26;18.03.2020;Mittwoch;1042;;;4510;1,74;6445;2,49;1838;2,20;;;4560;1,57;;;;;;;;;;
15.03.2020;13;Sonntag;4679;4617;4739;4271;4216;4324;1,86;1,84;1,89;1,99;1,98;2;3559;1,99;1174;4271;1,86;19.03.2020;Donnerstag;2801;;;4804;1,56;6823;2,21;1967;2,08;;;4848;1,45;;;;;;;408,00;1120,43;125,00;2144,40
16.03.2020;14;Montag;6021;5961;6088;4874;4819;4932;1,71;1,69;1,72;1,74;1,73;1,75;4130;1,74;1144;4874;1,71;20.03.2020;Freitag;2958;;;4964;1,39;7274;2,04;2380;1,93;2858;2,32;4947;1,36;;;;;;;1147,00;1891,29;1057,29;1252,64
17.03.2020;15;Dienstag;5232;5171;5297;5091;5033;5153;1,48;1,46;1,49;1,56;1,55;1,57;4510;1,56;1042;5092;1,48;21.03.2020;Samstag;2705;;;5101;1,24;7139;1,73;2897;1,86;3260;2,09;4925;1,22;;;;;;;141,00;721,86;130,86;1906,95
18.03.2020;16;Mittwoch;5292;5229;5352;5306;5244;5369;1,36;1,34;1,37;1,39;1,39;1,4;4804;1,39;2801;5306;1,36;22.03.2020;Sonntag;1948;;;5102;1,13;6887;1,53;3337;1,82;3212;1,75;5116;1,12;;;;;;;14,00;488,00;189,71;1594,99
19.03.2020;17;Donnerstag;4725;4667;4784;5317;5257;5380;1,25;1,23;1,26;1,24;1,23;1,24;4964;1,24;2958;5318;1,25;23.03.2020;Montag;4062;;;4978;1,04;6485;1,35;3644;1,85;3920;1,99;5288;1,09;;;;;;;592,00;238,71;253,14;1760,18
